	ALP	CTT	LPASS	MAU	PDR	PPURA	RT	SNEV	SP	STE
ALP		0.292252	0.12518	0.090131	0.132727	0.061702	0.131769	0.101377	0.0544235	0.0995643
CTT			0.292782	0.372544	0.408239	0.251913	0.279055	0.304983	0.260773	0.231938
LPASS				0.14866	0.183859	0.111259	0.128918	0.126283	0.111593	0.0994125
MAU					0.177865	0.0715969	0.160013	0.124725	0.0748396	0.112939
PDR						0.121009	0.191895	0.167458	0.113511	0.1475
PPURA							0.11141	0.090949	0.053633	0.0901478
RT								0.141569	0.115316	0.0966839
SNEV									0.0910323	0.104778
SP										0.0905326
